texto,label,label_num
dor nas costas moderada após exercício físico,MODERADO,1
azia leve após comida pesada,LEVE,0
leve prurido na pele,LEVE,0
paciente alerta para parada cardíaca,URGENTE,2
dor persistente no ombro direito,MODERADO,1
"dor no ombro moderada, alongamento no braço",MODERADO,1
"mal estar, pressão levemente baixa",MODERADO,1
"inchaço na garganta, dificuldade para respirar",URGENTE,2
"dor no ombro leve, sem afetar o movimento",LEVE,0
um pequeno coceira no pé,LEVE,0
"trauma grave: dor intenso, dificuldade respirar",URGENTE,2
"dor no ombro direito, sensação de rigidez no braço, dificuldade em levantar",MODERADO,1
dor intensa no peito com dificuldade de respirar,URGENTE,2
dor leve após uso excessivo de celular ou outro dispositivo,LEVE,0
corte profundo na mão esquerda que não para de sangrar após 10 minutos de pressão,MODERADO,1
um leve coceira no braço,LEVE,0
"perda de ar severa em repouso, incapaz de completar frases",URGENTE,2
"vômitos repetidos há 4 horas, levemente sangrentos",MODERADO,1
"AVC com perda de visão: visão escura, fraqueza no lado direito",URGENTE,2
"sudorese profusa, dor abdominal",URGENTE,2
"dor na mão esquerda, tontura",MODERADO,1
"convulsão ativa prolongada, corpo inerte",URGENTE,2
"queimadura maior que 20% corpo: chamas visíveis, dor intensa",URGENTE,2
cansaço após longa jornada de trabalho,LEVE,0
dor de ouvido intensa com febre de 38.5°C,MODERADO,1
infecção urinária com dor ao urinar,MODERADO,1
"coriza e espirros, provável resfriado leve",LEVE,0
"pequeno corte superficial no polegar, sangramento já controlado",LEVE,0
coceira em algumas unhas,LEVE,0
dor leve na perna após longa caminhada,LEVE,0
"dor abdominal intolerável: abdome rígido, queda de pressão",URGENTE,2
"dificuldade de respirar, fraqueza geral",URGENTE,2
dor aguda no peito associada a sudorese profusa,URGENTE,2
azia leve e persistente,LEVE,0
fadiga leve após trabalhar no computador durante horas,LEVE,0
torção no tornozelo com inchaço forte e dor,MODERADO,1
dor leve no joelho direito após saltar,LEVE,0
paciente relata dor no colo leve,LEVE,0
dor de garganta leve após uso excessivo de voz,LEVE,0
"dor persistente no pescoço, sem dificuldade de engolir",MODERADO,1
"dor no braço, inchaço leve",MODERADO,1
coceira leve e intermitente na pele,LEVE,0
"vômitos repetidos há 6 horas, sem sangue",MODERADO,1
cansaço após esforço físico leve no dia anterior,LEVE,0
"dor abdominal moderada, sem rigidez ou sangue",MODERADO,1
"sangramento nasal intenso, inchaço na boca, dificuldade em faltar falar",URGENTE,2
"grave alteração consciência: desorientado, não responde a estímulos",URGENTE,2
sensação de ar queimação no nariz,LEVE,0
"sangramento incontrolável: sangue intenso, pressão não controlada",URGENTE,2
"inchaço nas pernas, dificuldade em caminhar",MODERADO,1
"sudorese fria intenso, dor em punhalada no abdome",URGENTE,2
"dor persistente na cabeça, baixa pressão",MODERADO,1
"leve irritação nos olhos, sem perda de visão",LEVE,0
"sudorese fria, dor no peito intensa",URGENTE,2
"dolor de cabeça intensa, queixa de dor no pescoço",MODERADO,1
"queda súbita com perda de consciência, não responde a estímulos",URGENTE,2
"espirros persistentes, sensação de secar garganta",LEVE,0
"dor leve no ombro, sem febre",LEVE,0
"coceira leve no pé, sem inchaço",LEVE,0
"pequeno corte superficial, que não sangra mais",LEVE,0
dor nas costas moderada que irradia para o peito,MODERADO,1
"pele irritada, dor moderada na região pélvica",MODERADO,1
"dor intensa no peito, irradiação à mão esquerda",URGENTE,2
"tosse leve há três dias, sem espirros",LEVE,0
"tetania, dor muscular intolerável",URGENTE,2
dor na região torácica seguida de sudorese e febre alta,URGENTE,2
"febre moderada, dor nas articulações, dificuldade em caminhar",MODERADO,1
dor persistente na região do pescoço e ombro,MODERADO,1
"queda súbita, incapacidade de falar",URGENTE,2
"bebê não respira, coloração pálida",URGENTE,2
irritação leve no olho,LEVE,0
dor muscular leve após exercício moderado,LEVE,0
"febre de 39°C, dor intensa no dorso",MODERADO,1
dor leve na região do joelho,LEVE,0
leve irritação nas membranas oculares,LEVE,0
"dor intensa no ouvido, febre de 38.8°C",MODERADO,1
"dor de dente leve, sem inchaço na face",LEVE,0
